#! FIELDS p1.sss p1.zzz file.free der_p1.sss der_p1.zzz
#! SET min_p1.sss -6.04479
#! SET max_p1.sss 118.916
#! SET nbins_p1.sss  178
#! SET periodic_p1.sss false
#! SET min_p1.zzz -0.0133079
#! SET max_p1.zzz 0.0602447
#! SET nbins_p1.zzz  43
#! SET periodic_p1.zzz false
   -6.044790000   -0.013307900  222.408206016   -0.000019334   -0.007581440
   -5.338796836   -0.013307900  222.408177177   -0.000069640   -0.029773762
   -4.632803672   -0.013307900  222.408085413   -0.000212587   -0.100342414
   -3.926810508   -0.013307900  222.407827750   -0.000565786   -0.298323221
   -3.220817345   -0.013307900  222.407193402   -0.001314967   -0.785297133
   -2.514824181   -0.013307900  222.405829260   -0.002660894   -1.831542756
   -1.808831017   -0.013307900  222.403278517   -0.004662914   -3.785976304
   -1.102837853   -0.013307900  222.399157902   -0.007017885   -6.940121142
   -0.396844689   -0.013307900  222.393467705   -0.008943465  -11.291262594
    0.309148475   -0.013307900  222.386881045   -0.009385600  -16.322782836
    1.015141638   -0.013307900  222.380749406   -0.007589363  -21.002432807
    1.721134802   -0.013307900  222.376665802   -0.003701266  -24.117922673
    2.427127966   -0.013307900  222.375743369    0.001106108  -24.827062478
    3.133121130   -0.013307900  222.378057111    0.005205577  -23.079916499
    3.839114294   -0.013307900  222.382638555    0.007407922  -19.617829042
    4.545107458   -0.013307900  222.388016774    0.007515672  -15.558148420
    5.251100621   -0.013307900  222.392911897    0.006194193  -11.867296976
    5.957093785   -0.013307900  222.396652621    0.004395431   -9.047493654
    6.663086949   -0.013307900  222.399176828    0.002831125   -7.140829248
    7.369080113   -0.013307900  222.400775313    0.001788214   -5.925830112
    8.075073277   -0.013307900  222.401816701    0.001229670   -5.125238245
    8.781066441   -0.013307900  222.402583185    0.000975528   -4.528579141
    9.487059605   -0.013307900  222.403222503    0.000829958   -4.027308823
   10.193052768   -0.013307900  222.403761700    0.000662118   -3.604427149
   10.899045932   -0.013307900  222.404158253    0.000445179   -3.294884417
   11.605039096   -0.013307900  222.404387636    0.000205407   -3.118549912
   12.311032260   -0.013307900  222.404465392    0.000031542   -3.062170453
   13.017025424   -0.013307900  222.404465539   -0.000006523   -3.065482490
   13.723018588   -0.013307900  222.404490263    0.000093913   -3.045915732
   14.429011751   -0.013307900  222.404618291    0.000272729   -2.940276430
   15.135004915   -0.013307900  222.404872838    0.000437633   -2.730663259
   15.840998079   -0.013307900  222.405215673    0.000513834   -2.449125091
   16.546991243   -0.013307900  222.405570991    0.000471855   -2.158139918
   17.252984407   -0.013307900  222.405859527    0.000331239   -1.922730296
   17.958977571   -0.013307900  222.406028969    0.000146330   -1.785593983
   18.664970734   -0.013307900  222.406072122   -0.000014976   -1.752327931
   19.370963898   -0.013307900  222.406028518   -0.000090834   -1.790166238
   20.076957062   -0.013307900  222.405972348   -0.000048581   -1.837989633
   20.782950226   -0.013307900  222.405985778    0.000100176   -1.828261154
   21.488943390   -0.013307900  222.406126833    0.000300379   -1.713376571
   22.194936554   -0.013307900  222.406405189    0.000477032   -1.485482002
   22.900929718   -0.013307900  222.406780712    0.000568469   -1.177608211
   23.606922881   -0.013307900  222.407183360    0.000554660   -0.847322112
   24.312916045   -0.013307900  222.407544893    0.000459040   -0.550684078
   25.018909209   -0.013307900  222.407823407    0.000327770   -0.322125481
   25.724902373   -0.013307900  222.408009794    0.000203838   -0.169148456
   26.430895537   -0.013307900  222.408118905    0.000111071   -0.079585875
   27.136888701   -0.013307900  222.408175077    0.000053151   -0.033473482
   27.842881864   -0.013307900  222.408200562    0.000022348   -0.012549224
   28.548875028   -0.013307900  222.408210862    0.000008039   -0.004091759
   29.254868192   -0.013307900  222.408214473    0.000002410   -0.001126621
   29.960861356   -0.013307900  222.408215629    0.000000402   -0.000177718
   30.666854520   -0.013307900  222.408215845   -0.000000000   -0.000000000
   31.372847684   -0.013307900  222.408215845   -0.000000000   -0.000000000
   32.078840847   -0.013307900  222.408215845   -0.000000000   -0.000000000
   32.784834011   -0.013307900  222.408215845   -0.000000000   -0.000000000
   33.490827175   -0.013307900  222.408215845   -0.000000000   -0.000000000
   34.196820339   -0.013307900  222.408215845   -0.000000000   -0.000000000
   34.902813503   -0.013307900  222.408215845   -0.000000000   -0.000000000
   35.608806667   -0.013307900  222.408215845   -0.000000000   -0.000000000
   36.314799831   -0.013307900  222.408215845   -0.000000000   -0.000000000
   37.020792994   -0.013307900  222.408215845   -0.000000000   -0.000000000
   37.726786158   -0.013307900  222.408215845   -0.000000000   -0.000000000
   38.432779322   -0.013307900  222.408215845   -0.000000000   -0.000000000
   39.138772486   -0.013307900  222.408215845   -0.000000000   -0.000000000
   39.844765650   -0.013307900  222.408215845   -0.000000000   -0.000000000
   40.550758814   -0.013307900  222.408215845   -0.000000000   -0.000000000
   41.256751977   -0.013307900  222.408215845   -0.000000000   -0.000000000
   41.962745141   -0.013307900  222.408215845   -0.000000000   -0.000000000
   42.668738305   -0.013307900  222.408215845   -0.000000000   -0.000000000
   43.374731469   -0.013307900  222.408215845   -0.000000000   -0.000000000
   44.080724633   -0.013307900  222.408215845   -0.000000000   -0.000000000
   44.786717797   -0.013307900  222.408215845   -0.000000000   -0.000000000
   45.492710960   -0.013307900  222.408215845   -0.000000000   -0.000000000
   46.198704124   -0.013307900  222.408215845   -0.000000000   -0.000000000
   46.904697288   -0.013307900  222.408215845   -0.000000000   -0.000000000
   47.610690452   -0.013307900  222.408215845   -0.000000000   -0.000000000
   48.316683616   -0.013307900  222.408215845   -0.000000000   -0.000000000
